"instrument_key","exchange_token","tradingsymbol","name","last_price","expiry","strike","tick_size","lot_size","instrument_type","option_type","exchange"
"NSE_FO|49910","49910","CAMS25FEB2400CE","COMPUTER AGE MNGT SER LTD","2477.35","2025-02-27","2400.0","0.05","125","OPTSTK","CE","NSE_FO"
"NSE_EQ|INE869I01013","21195","GTPL","GTPL HATHWAY LIMITED","107.24","","","0.01","1","EQUITY","","NSE_EQ"
"NSE_FO|49915","49915","CAMS25MAR3000PE","COMPUTER AGE MNGT SER LTD","38.1","2025-03-27","3000.0","0.05","125","OPTSTK","PE","NSE_FO"
"NSE_FO|49913","49913","CAMS25MAR2400PE","COMPUTER AGE MNGT SER LTD","0.05","2025-03-27","2400.0","0.05","125","OPTSTK","PE","NSE_FO"
"NSE_FO|49914","49914","CAMS25MAR3000CE","COMPUTER AGE MNGT SER LTD","499.5","2025-03-27","3000.0","0.05","125","OPTSTK","CE","NSE_FO"
"NSE_FO|49911","49911","CAMS25FEB2400PE","COMPUTER AGE MNGT SER LTD","0.05","2025-02-27","2400.0","0.05","125","OPTSTK","PE","NSE_FO"
"NSE_FO|49912","49912","CAMS25MAR2400CE","COMPUTER AGE MNGT SER LTD","2490.6","2025-03-27","2400.0","0.05","125","OPTSTK","CE","NSE_FO"
"NSE_EQ|INE399C01030","11689","SUPRAJIT","SUPRAJIT ENGINEERING LTD","396.1","","","0.05","1","EQUITY","","NSE_EQ"
"NSE_FO|115506","115506","HUDCO25FEB215CE","HSG & URBAN DEV CORPN LTD","0.05","2025-02-27","215.0","0.05","2425","OPTSTK","CE","NSE_FO"
"NSE_FO|115507","115507","HUDCO25FEB215PE","HSG & URBAN DEV CORPN LTD","35.5","2025-02-27","215.0","0.05","2425","OPTSTK","PE","NSE_FO"
"NSE_FO|115504","115504","HUDCO25FEB205CE","HSG & URBAN DEV CORPN LTD","0.1","2025-02-27","205.0","0.05","2425","OPTSTK","CE","NSE_FO"
"NSE_FO|115505","115505","HUDCO25FEB205PE","HSG & URBAN DEV CORPN LTD","27.5","2025-02-27","205.0","0.05","2425","OPTSTK","PE","NSE_FO"
"NSE_FO|115508","115508","HUDCO25FEB225CE","HSG & URBAN DEV CORPN LTD","0.05","2025-02-27","225.0","0.05","2425","OPTSTK","CE","NSE_FO"
"NSE_FO|115509","115509","HUDCO25FEB225PE","HSG & URBAN DEV CORPN LTD","42.55","2025-02-27","225.0","0.05","2425","OPTSTK","PE","NSE_FO"
"NSE_FO|115502","115502","HUDCO25FEB195CE","HSG & URBAN DEV CORPN LTD","0.1","2025-02-27","195.0","0.05","2425","OPTSTK","CE","NSE_FO"
"NSE_FO|115503","115503","HUDCO25FEB195PE","HSG & URBAN DEV CORPN LTD","15.85","2025-02-27","195.0","0.05","2425","OPTSTK","PE","NSE_FO"
"NSE_FO|115500","115500","HUDCO25FEB185CE","HSG & URBAN DEV CORPN LTD","0.4","2025-02-27","185.0","0.05","2425","OPTSTK","CE","NSE_FO"
"NSE_FO|115501","115501","HUDCO25FEB185PE","HSG & URBAN DEV CORPN LTD","7.2","2025-02-27","185.0","0.05","2425","OPTSTK","PE","NSE_FO"
"NSE_EQ|INE0MJQ01020","12986","PRITIKA","PRITIKA ENG COMPO LTD","0","","","0.05","2000","EQUITY","","NSE_EQ"
"NSE_EQ|INE0LLY01014","27213","EIEL","ENVIRO INFRA ENGINEERS L","221.2","","","0.05","1","EQUITY","","NSE_EQ"
"NSE_EQ|INE0J1E01027","10296","KCK","KCK INDUSTRIES LTD","46.25","","","0.05","2500","EQUITY","","NSE_EQ"
"NSE_EQ|IN1320210025","3695","645BR27","SDL BR 6.45% 2027","0","","","0.01","100","EQUITY","","NSE_EQ"
"NSE_EQ|INE176A01028","371","BATAINDIA","BATA INDIA LTD","1346.05","","","0.05","1","EQUITY","","NSE_EQ"
"NSE_EQ|IN1320210017","3650","639BR27","SDL BR 6.39% 2027","0","","","0.01","100","EQUITY","","NSE_EQ"
"NSE_EQ|INE585B01010","10999","MARUTI","MARUTI SUZUKI INDIA LTD.","12476.35","","","0.05","1","EQUITY","","NSE_EQ"
"NSE_FO|98918","98918","CGPOWER25MAR670PE","CG POWER AND IND SOL LTD","67.0","2025-03-27","670.0","0.05","725","OPTSTK","PE","NSE_FO"
"NSE_FO|74948","74948","COROMANDEL25FEB1880PE","COROMANDEL INTERNTL. LTD","154.5","2025-02-27","1880.0","0.05","350","OPTSTK","PE","NSE_FO"
"NSE_FO|98919","98919","CGPOWER25MAR690CE","CG POWER AND IND SOL LTD","6.05","2025-03-27","690.0","0.05","725","OPTSTK","CE","NSE_FO"
"NSE_FO|74949","74949","COROMANDEL25FEB1920CE","COROMANDEL INTERNTL. LTD","1.1","2025-02-27","1920.0","0.05","350","OPTSTK","CE","NSE_FO"
"NSE_FO|74946","74946","COROMANDEL25FEB1840PE","COROMANDEL INTERNTL. LTD","160.0","2025-02-27","1840.0","0.05","350","OPTSTK","PE","NSE_FO"
"NSE_FO|74947","74947","COROMANDEL25FEB1880CE","COROMANDEL INTERNTL. LTD","1.15","2025-02-27","1880.0","0.05","350","OPTSTK","CE","NSE_FO"
"NSE_FO|74944","74944","COROMANDEL25FEB1800PE","COROMANDEL INTERNTL. LTD","88.65","2025-02-27","1800.0","0.05","350","OPTSTK","PE","NSE_FO"
"NSE_FO|74945","74945","COROMANDEL25FEB1840CE","COROMANDEL INTERNTL. LTD","4.0","2025-02-27","1840.0","0.05","350","OPTSTK","CE","NSE_FO"
"NSE_FO|35345","35345","BANKBARODA25MARFUT","BANK OF BARODA","206.05","2025-03-27","0.0","0.01","2925","FUTSTK","FF","NSE_FO"
"NSE_FO|74942","74942","COROMANDEL25FEB1760PE","COROMANDEL INTERNTL. LTD","90.0","2025-02-27","1760.0","0.05","350","OPTSTK","PE","NSE_FO"
"NCD_FO|14211","14211","GBPINR25SEP100PE","GBPINR","0","2025-09-26","100.0","0.25","1","OPTCUR","PE","NCD_FO"
"NSE_FO|59313","59313","OFSS25MAR6500CE","ORACLE FIN SERV SOFT LTD.","4444.05","2025-03-27","6500.0","0.05","50","OPTSTK","CE","NSE_FO"
"NSE_FO|74943","74943","COROMANDEL25FEB1800CE","COROMANDEL INTERNTL. LTD","5.45","2025-02-27","1800.0","0.05","350","OPTSTK","CE","NSE_FO"
"NSE_FO|98910","98910","CROMPTON25FEB325CE","CROMPT GREA CON ELEC LTD","7.55","2025-02-27","325.0","0.05","1800","OPTSTK","CE","NSE_FO"
"NCD_FO|14212","14212","GBPINR25SEP100.25CE","GBPINR","0","2025-09-26","100.25","0.25","1","OPTCUR","CE","NCD_FO"
"NSE_FO|59314","59314","OFSS25MAR6500PE","ORACLE FIN SERV SOFT LTD.","2.5","2025-03-27","6500.0","0.05","50","OPTSTK","PE","NSE_FO"
"NSE_FO|74940","74940","COROMANDEL25FEB1720PE","COROMANDEL INTERNTL. LTD","64.5","2025-02-27","1720.0","0.05","350","OPTSTK","PE","NSE_FO"
"NSE_FO|98911","98911","CROMPTON25FEB325PE","CROMPT GREA CON ELEC LTD","0.75","2025-02-27","325.0","0.05","1800","OPTSTK","PE","NSE_FO"
"NCD_FO|14213","14213","GBPINR25SEP100.25PE","GBPINR","0","2025-09-26","100.25","0.25","1","OPTCUR","PE","NCD_FO"
"NSE_FO|74941","74941","COROMANDEL25FEB1760CE","COROMANDEL INTERNTL. LTD","6.85","2025-02-27","1760.0","0.05","350","OPTSTK","CE","NSE_FO"
"NSE_FO|140513","140513","RAMCOCEM25MAR770CE","THE RAMCO CEMENTS LIMITED","166.65","2025-03-27","770.0","0.05","850","OPTSTK","CE","NSE_FO"
"NSE_FO|140514","140514","RAMCOCEM25MAR770PE","THE RAMCO CEMENTS LIMITED","2.7","2025-03-27","770.0","0.05","850","OPTSTK","PE","NSE_FO"
"NSE_FO|140511","140511","RAMCOCEM25MAR750CE","THE RAMCO CEMENTS LIMITED","185.35","2025-03-27","750.0","0.05","850","OPTSTK","CE","NSE_FO"
"NSE_FO|140512","140512","RAMCOCEM25MAR750PE","THE RAMCO CEMENTS LIMITED","2.0","2025-03-27","750.0","0.05","850","OPTSTK","PE","NSE_FO"
"NCD_FO|14210","14210","GBPINR25SEP100CE","GBPINR","0","2025-09-26","100.0","0.25","1","OPTCUR","CE","NCD_FO"
"NSE_FO|115559","115559","HINDUNILVR25MAR2060PE","HINDUSTAN UNILEVER LTD.","3.4","2025-03-27","2060.0","0.05","300","OPTSTK","PE","NSE_FO"
"NSE_FO|50970","50970","NIFTY25JUN27000PE","NIFTY","3798.4","2025-06-26","27000.0","0.05","75","OPTIDX","PE","NSE_FO"
"NSE_FO|50971","50971","NIFTY25DEC27000CE","NIFTY","203.5","2025-12-24","27000.0","0.05","75","OPTIDX","CE","NSE_FO"
"NSE_FO|50972","50972","NIFTY25DEC27000PE","NIFTY","3057.85","2025-12-24","27000.0","0.05","75","OPTIDX","PE","NSE_FO"
"NCD_FO|14216","14216","USDINR2531389.25CE","USDINR","0.0025","2025-03-13","89.25","0.25","1","OPTCUR","CE","NCD_FO"
"NSE_FO|50973","50973","NIFTY26JUN27000CE","NIFTY","1352.8","2026-06-25","27000.0","0.05","75","OPTIDX","CE","NSE_FO"
"NSE_FO|35336","35336","NIFTYNXT5025MAR51500CE","NIFTYNXT50","17974.45","2025-03-27","51500.0","0.05","25","OPTIDX","CE","NSE_FO"
"NCD_FO|14217","14217","USDINR2531389.25PE","USDINR","3.7425","2025-03-13","89.25","0.25","1","OPTCUR","PE","NCD_FO"
"NSE_EQ|INE319B01014","7930","BYKE","THE BYKE HOSPITALITY LTD","68.67","","","0.01","1","EQUITY","","NSE_EQ"
"NSE_FO|50976","50976","NIFTY26JUN27000PE","NIFTY","6810.7","2026-06-25","27000.0","0.05","75","OPTIDX","PE","NSE_FO"
"NSE_FO|50978","50978","NIFTY26DEC27000CE","NIFTY","1651.65","2026-12-31","27000.0","0.05","75","OPTIDX","CE","NSE_FO"
"NSE_FO|50979","50979","NIFTY26DEC27000PE","NIFTY","6522.3","2026-12-31","27000.0","0.05","75","OPTIDX","PE","NSE_FO"
"NSE_FO|74959","74959","ASHOKLEY25FEB237.5CE","ASHOK LEYLAND LTD","0.1","2025-02-27","237.5","0.05","2500","OPTSTK","CE","NSE_FO"
"NSE_FO|74957","74957","COROMANDEL25FEB2080CE","COROMANDEL INTERNTL. LTD","0.1","2025-02-27","2080.0","0.05","350","OPTSTK","CE","NSE_FO"
"NSE_FO|115560","115560","HINDUNILVR25MAR2100CE","HINDUSTAN UNILEVER LTD.","165.0","2025-03-27","2100.0","0.05","300","OPTSTK","CE","NSE_FO"
"NSE_FO|74958","74958","COROMANDEL25FEB2080PE","COROMANDEL INTERNTL. LTD","267.1","2025-02-27","2080.0","0.05","350","OPTSTK","PE","NSE_FO"
"NSE_FO|115561","115561","HINDUNILVR25MAR2100PE","HINDUSTAN UNILEVER LTD.","5.5","2025-03-27","2100.0","0.05","300","OPTSTK","PE","NSE_FO"
"NSE_FO|74955","74955","COROMANDEL25FEB2040CE","COROMANDEL INTERNTL. LTD","0.15","2025-02-27","2040.0","0.05","350","OPTSTK","CE","NSE_FO"
"NSE_FO|74956","74956","COROMANDEL25FEB2040PE","COROMANDEL INTERNTL. LTD","192.45","2025-02-27","2040.0","0.05","350","OPTSTK","PE","NSE_FO"
"NSE_FO|35356","35356","BERGEPAINT25MARFUT","BERGER PAINTS (I) LTD","498.65","2025-03-27","0.0","0.05","1320","FUTSTK","FF","NSE_FO"
"NSE_FO|59301","59301","OFSS25FEB7250CE","ORACLE FIN SERV SOFT LTD.","3664.3","2025-02-27","7250.0","0.05","50","OPTSTK","CE","NSE_FO"
"NSE_FO|74953","74953","COROMANDEL25FEB2000CE","COROMANDEL INTERNTL. LTD","0.4","2025-02-27","2000.0","0.05","350","OPTSTK","CE","NSE_FO"
"NSE_FO|35357","35357","BHARATFORG25MARFUT","BHARAT FORGE LTD","1050.05","2025-03-27","0.0","0.05","500","FUTSTK","FF","NSE_FO"
"NSE_FO|59302","59302","OFSS25FEB7250PE","ORACLE FIN SERV SOFT LTD.","2.15","2025-02-27","7250.0","0.05","50","OPTSTK","PE","NSE_FO"
"NSE_FO|74954","74954","COROMANDEL25FEB2000PE","COROMANDEL INTERNTL. LTD","221.4","2025-02-27","2000.0","0.05","350","OPTSTK","PE","NSE_FO"
"NSE_FO|74951","74951","COROMANDEL25FEB1960CE","COROMANDEL INTERNTL. LTD","0.2","2025-02-27","1960.0","0.05","350","OPTSTK","CE","NSE_FO"
"NSE_FO|74952","74952","COROMANDEL25FEB1960PE","COROMANDEL INTERNTL. LTD","221.95","2025-02-27","1960.0","0.05","350","OPTSTK","PE","NSE_FO"
"NSE_FO|98901","98901","CROMPTON25FEB315PE","CROMPT GREA CON ELEC LTD","0.15","2025-02-27","315.0","0.05","1800","OPTSTK","PE","NSE_FO"
"NSE_FO|74950","74950","COROMANDEL25FEB1920PE","COROMANDEL INTERNTL. LTD","240.0","2025-02-27","1920.0","0.05","350","OPTSTK","PE","NSE_FO"
"NSE_FO|35350","35350","BANKINDIA25MARFUT","BANK OF INDIA","98.6","2025-03-27","0.0","0.01","4825","FUTSTK","FF","NSE_FO"
