pSymbol,pGroup,pExchSeg,pInstType,pSymbolName,pTrdSymbol,pOptionType,pScripRefKey,pISIN,pAssetCode,pSubGroup,pCombinedSymbol,pDesc,pAmcCode,pContractId,dTickSize ,lLotSize,lExpiryDate ,lMultiplier ,lPrecision,dStrikePrice;,pExchange,pInstName,pExpiryDate,pIssueDate,pMaturityDate,pListingDate,pNoDelStartDate,pNoDelEndDate,pBookClsStartDate,pBookClsEndDate,pRecordDate,pCreditRating,pReAdminDate,pExpulsionDate,pLocalUpdateTime,pDeliveryUnits,pPriceUnits,pLastTradingDate,pTenderPeridEndDate,pTenderPeridStartDate,pSellVarMargin,pBuyVarMargin,pInstrumentInfo,pRemarksText,pSegment,pNav,pNavDate,pMfAmt,pSipSecurity,pFaceValue,pTrdUnits,pExerciseStartDate,pExerciseEndDate,pElmMargin,pVarMargin,pTotProposedLimitValue,pScripBasePrice,pSettlementType,pCurrectionTime,iPermittedToTrade,iBoardLotQty ,iMaxOrderSize ,iLotSize,dOpenInterest ,dHighPriceRange ,dLowPriceRange ,dPriceNum   ,dGenDen,dGenNum,dPriceQuatation ,dIssuerate ,dPriceDen,dWarningQty ,dIssueCapital ,dExposureMargin ,dMinRedemptionQty ,lFreezeQty
6531,IV,nse_cm,,NHIT,NHIT-IV,,NHIT-IV,INE0H7R23014,,,,NATIONAL HIGHW INFRA TRUS,,,1,200000,-1,-1,2,-1,NSE,,,1320969600,,1320969600,0,0,0,0,1401408000,102.80-154.20,0,0,1406742825,,,,,,,,,,CASH,,,,,10000,,,,0,20,,,T+1,315513000,0,1,778134,200000,0,15420,10280,1,1,1,0,0,1,0,1.3122e+09,0,0,778134
6542,BL,nse_cm,,NHIT,NHIT-BL,,NHIT-BL,INE0H7R23014,,,,NATIONAL HIGHW INFRA TRUS,,,1,1,-1,-1,2,-1,NSE,,,1320969600,,1320969600,0,0,0,0,0,127.21-129.78,0,0,1406738502,,,,,,,,,,CASH,,,,,10000,,,,,,,,T+1,315513000,0,1,0,1,0,12978,12721,1,1,1,0,0,1,0,1.3122e+09,0,0,99999999
6545,EQ,nse_cm,,NYKAA,NYKAA-EQ,,NYKAA,INE388Y01029,,,,FSN E COMMERCE VENTURES,,,1,1,-1,-1,2,-1,NSE,,,1320969600,,1320969600,0,0,0,0,1352592000,146.28-219.42,0,0,1406742825,,,,,,,,,,CASH,,,,,100,,,,0,20,,,T+1,315513000,0,1,545501,1,0,21942,14628,1,1,1,0,0,1,0,2.85603e+09,0,0,545501
1,SM,nse_cm,,GOLDSTAR,GOLDSTAR-SM,,GOLDSTAR-SM,INE405Y01021,,,,GOLDSTAR POWER LIMITED,,,5,11250,-1,-1,2,-1,NSE,,,1192060800,,1192060800,0,0,0,0,1374192000,9.55-14.25,0,0,1406742824,,,,,,,,,,CASH,,,,,100,,,,0,20,,,T+1,315513000,0,1,7871053,11250,0,1425,955,1,1,1,0,0,1,0,2.40705e+08,0,0,7871053
6548,BL,nse_cm,,GRPLTD,GRPLTD-BL,,GRPLTD-BL,INE137I01015,,,,GRP LIMITED,,,5,1,-1,-1,2,-1,NSE,,,1108166400,,1108166400,0,0,1406592000,1407024000,0,15142.00-15447.85,0,0,1406741691,,,,,,,,,,CASH,,,,,1000,,,,,,,,T+1,315513000,0,1,0,1,0,1.54478e+06,1.5142e+06,1,1,1,0,0,1,0,1.33333e+06,0,0,99999999
6549,BE,nse_cm,,GRPLTD,GRPLTD-BE,,GRPLTD,INE137I01015,,,,GRP LIMITED,,,5,1,-1,-1,2,-1,NSE,,,1108166400,,1108166400,0,0,1406592000,1407024000,0,14530.20-16059.65,0,0,1406743309,,,,,,,,,,CASH,,,,,1000,,,,0,20,,,T+1,315513000,0,1,6537,1,0,1.60596e+06,1.45302e+06,1,1,1,0,0,1,0,1.33333e+06,0,0,6537
7,EQ,nse_cm,,AARTIIND,AARTIIND-EQ,,AARTIIND,INE769A01020,,,,AARTI INDUSTRIES LTD,,,5,1,-1,-1,2,-1,NSE,,,473040000,,476668800,0,0,0,0,1406419200,644.25-787.35,0,0,1406743308,,,,,,,,,,CASH,,,,,500,,,,0,20,,,T+1,315513000,0,1,139564,1,0,78735,64425,1,1,1,0,0,1,0,3.62504e+08,0,0,139564
6553,BL,nse_cm,,NYKAA,NYKAA-BL,,NYKAA-BL,INE388Y01029,,,,FSN E COMMERCE VENTURES,,,1,1,-1,-1,2,-1,NSE,,,1320969600,,1320969600,0,0,0,0,1352592000,181.02-184.67,0,0,1406741669,,,,,,,,,,CASH,,,,,100,,,,,,,,T+1,315513000,0,1,0,1,0,18467,18102,1,1,1,0,0,1,0,2.85603e+09,0,0,99999999
6555,SG,nse_cm,,525AS24,525AS24-SG,,525AS24-SG,IN1220210117,,,,SDL AS 5.25% 2024,,,1,100,-1,-1,2,-1,NSE,,,1321142400,,1321142400,0,0,0,0,0,95.00-105.00,0,0,1406738502,,,,,,,,,,CASH,,,,,10000,,,,0,20,,,T+1,315513000,0,1,1000000,100,0,10500,9500,1,1,1,0,0,1,0,5e+07,0,0,1000000
6556,SG,nse_cm,,694AS31,694AS31-SG,,694AS31-SG,IN1220210125,,,,SDL AS 6.94% 2031,,,1,100,-1,-1,2,-1,NSE,,,1321142400,,1321142400,0,0,0,0,0,95.00-105.00,0,0,1406738502,,,,,,,,,,CASH,,,,,10000,,,,0,20,,,T+1,315513000,0,1,1000000,100,0,10500,9500,1,1,1,0,0,1,0,5e+07,0,0,1000000
